iter	RMSE
215	2.940392478e-06
216	2.938398715e-06
217	2.936417012e-06
218	2.934477936e-06
219	2.932558913e-06
220	2.930619906e-06
221	2.92867261e-06
222	2.926765318e-06
223	2.924765869e-06
224	2.922821861e-06
225	2.920907107e-06
226	2.918874381e-06
227	2.916737181e-06
228	2.9147501e-06
229	2.912843268e-06
230	2.910844147e-06
231	2.909047955e-06
232	2.907124657e-06
233	2.905119474e-06
234	2.903104184e-06
235	2.901108814e-06
236	2.899111401e-06
237	2.897135047e-06
238	2.895221521e-06
239	2.893129727e-06
240	2.891343569e-06
241	2.889343388e-06
242	2.887514007e-06
243	2.885517725e-06
244	2.88354874e-06
245	2.881493736e-06
246	2.879363886e-06
247	2.877511326e-06
248	2.875664339e-06
249	2.873564051e-06
250	2.871792159e-06
251	2.869727372e-06
252	2.867621423e-06
253	2.865632958e-06
254	2.86385043e-06
255	2.86193124e-06
256	2.859875741e-06
257	2.858070443e-06
258	2.856123538e-06
259	2.854067127e-06
260	2.8521575e-06
261	2.850262356e-06
262	2.848320792e-06
263	2.846426573e-06
264	2.844478094e-06
265	2.842480871e-06
266	2.840539186e-06
267	2.838579233e-06
268	2.836737217e-06
269	2.834789918e-06
270	2.832730799e-06
271	2.830722753e-06
272	2.828726576e-06
273	2.826781464e-06
274	2.824870474e-06
275	2.823006477e-06
276	2.82097354e-06
277	2.818991846e-06
278	2.817081396e-06
279	2.815069464e-06
280	2.813132068e-06
281	2.811357658e-06
282	2.809437358e-06
283	2.807582182e-06
284	2.805765689e-06
285	2.803996371e-06
286	2.802103335e-06
287	2.800055659e-06
288	2.797993459e-06
289	2.796045687e-06
290	2.794030663e-06
291	2.79201805e-06
292	2.790132198e-06
293	2.788220641e-06
294	2.786366242e-06
295	2.784743176e-06
296	2.782839355e-06
297	2.780816599e-06
298	2.778962925e-06
299	2.776979375e-06
300	2.77506927e-06
301	2.773047811e-06
302	2.771158111e-06
303	2.769325968e-06
304	2.767437813e-06
305	2.765410235e-06
306	2.763615045e-06
307	2.761870993e-06
308	2.759944077e-06
309	2.758163671e-06
310	2.756270062e-06
311	2.75441182e-06
312	2.752561864e-06
313	2.750675306e-06
314	2.748922676e-06
315	2.747035309e-06
316	2.745133514e-06
317	2.743281014e-06
318	2.741369793e-06
319	2.739705562e-06
320	2.737910843e-06
321	2.736157853e-06
322	2.734299567e-06
323	2.732402216e-06
324	2.730637376e-06
325	2.728808387e-06
326	2.726927624e-06
327	2.725111662e-06
328	2.723268151e-06
329	2.72137996e-06
330	2.719591398e-06
331	2.717600656e-06
332	2.715720896e-06
333	2.71375759e-06
334	2.711945545e-06
335	2.710058628e-06
336	2.708060902e-06
337	2.706175449e-06
338	2.704285076e-06
339	2.702527659e-06
340	2.700724554e-06
341	2.698981065e-06
342	2.697126286e-06
343	2.695296661e-06
344	2.693510792e-06
345	2.691673035e-06
346	2.689845905e-06
347	2.688224961e-06
348	2.686364321e-06
349	2.684521739e-06
350	2.682624781e-06
351	2.68076779e-06
352	2.679127856e-06
353	2.677305109e-06
354	2.675421808e-06
355	2.673645953e-06
356	2.671731266e-06
357	2.669905346e-06
358	2.668185169e-06
359	2.666382816e-06
360	2.664776305e-06
361	2.662960015e-06
362	2.661073473e-06
363	2.659203301e-06
364	2.65732026e-06
365	2.655486159e-06
366	2.653648309e-06
367	2.651838514e-06
368	2.650137655e-06
369	2.648180282e-06
370	2.646443349e-06
371	2.644724279e-06
372	2.64310196e-06
373	2.641600125e-06
374	2.639776906e-06
375	2.637962338e-06
376	2.63623563e-06
377	2.634399943e-06
378	2.632685079e-06
379	2.630787896e-06
380	2.629084209e-06
381	2.627277613e-06
382	2.625496037e-06
383	2.623656761e-06
384	2.621934994e-06
385	2.620177474e-06
386	2.618347191e-06
387	2.616684101e-06
388	2.614838165e-06
389	2.61302124e-06
390	2.611304315e-06
391	2.609562367e-06
392	2.60786063e-06
393	2.60592434e-06
394	2.604078845e-06
395	2.602318246e-06
396	2.600672678e-06
397	2.598902669e-06
398	2.59719422e-06
399	2.595549417e-06
400	2.593816567e-06
401	2.591955223e-06
402	2.590129723e-06
403	2.588434822e-06
404	2.586531785e-06
405	2.584919193e-06
406	2.583407663e-06
407	2.581636203e-06
408	2.580062564e-06
409	2.578299007e-06
410	2.576622032e-06
411	2.575046456e-06
412	2.573302969e-06
413	2.571404973e-06
414	2.569721249e-06
415	2.567965511e-06
416	2.566320756e-06
417	2.564621544e-06
418	2.562946378e-06
419	2.561324985e-06
420	2.559685111e-06
421	2.557853154e-06
422	2.556161552e-06
423	2.554472978e-06
424	2.552823636e-06
425	2.551226058e-06
426	2.549631216e-06
427	2.547939986e-06
428	2.546193041e-06
429	2.544395269e-06
430	2.542654182e-06
431	2.541088107e-06
432	2.539357397e-06
433	2.537573603e-06
434	2.535744995e-06
435	2.534087315e-06
436	2.532525739e-06
437	2.530803974e-06
438	2.529080184e-06
439	2.527360741e-06
440	2.525708523e-06
441	2.524069441e-06
442	2.522414379e-06
443	2.520900183e-06
444	2.519173762e-06
445	2.517389285e-06
446	2.515585511e-06
447	2.513913499e-06
448	2.512222569e-06
449	2.510577648e-06
450	2.509054968e-06
451	2.507497783e-06
452	2.505724266e-06
453	2.504045916e-06
454	2.502377413e-06
455	2.500625614e-06
456	2.499142541e-06
457	2.497387885e-06
458	2.495664114e-06
459	2.494050848e-06
460	2.492443937e-06
461	2.490682699e-06
462	2.489036276e-06
463	2.487395437e-06
464	2.485859833e-06
465	2.484288727e-06
466	2.482723851e-06
467	2.48121537e-06
468	2.479731533e-06
469	2.478096501e-06
470	2.476358323e-06
471	2.474708471e-06
472	2.473112428e-06
473	2.471442511e-06
474	2.469766956e-06
475	2.468148924e-06
476	2.46655023e-06
477	2.464909732e-06
478	2.463189163e-06
479	2.461459646e-06
480	2.459713959e-06
481	2.458157918e-06
482	2.456521e-06
483	2.454857859e-06
484	2.453271207e-06
485	2.45146186e-06
486	2.449743707e-06
487	2.448132646e-06
488	2.446493543e-06
489	2.444752481e-06
490	2.443069144e-06
491	2.441357071e-06
492	2.439952491e-06
493	2.43827752e-06
494	2.436742929e-06
495	2.435194663e-06
496	2.433466151e-06
497	2.43186867e-06
498	2.430277677e-06
499	2.428609397e-06
